Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
4.35082	25	0	0	15323	0	0	1	0	0	70546	51	0	0.870828	0.739765	0	0	0	0	0	0	0	0	0	0	0	0	413499319	
4.37423	25	0	0	15105	0	0	1	0	0	69306	49	2	0.581016	0.566802	0	0	0	0	0	0	0	0	0	0	0	0	413499319	
4.3747	26	0	0	15513	0	0	1	0	0	71746	51	0	0.795541	0.659783	0	0	0	0	0	0	0	0	0	0	0	0	1780862618	
4.30214	26	0	0	15418	0	0	1	0	0	70942	50	1	0.579682	0.566373	0	0	0	0	0	0	0	0	0	0	0	0	1780862618	
4.53561	27	0	0	15854	0	0	1	0	0	73388	51	0	0.794356	0.675784	0	0	0	0	0	0	0	0	0	0	0	0	1724217577	
4.5369	27	0	0	15701	0	0	1	0	0	72408	49	2	0.591576	0.576063	0	0	0	0	0	0	0	0	0	0	0	0	1724217577	
4.66506	28	0	0	16760	0	0	1	0	0	77492	50	1	0.677508	0.623503	0	0	0	0	0	0	0	0	0	0	0	0	122593339	
4.77144	28	0	0	16707	0	0	1	0	0	76956	49	2	0.587904	0.580068	0	0	0	0	0	0	0	0	0	0	0	0	122593339	
4.84354	29	0	0	16919	0	0	1	0	0	78520	51	0	0.649249	0.615997	0	0	0	0	0	0	0	0	0	0	0	0	1615100174	
4.91875	29	0	0	16864	0	0	1	0	0	78114	49	2	0.587545	0.581243	0	0	0	0	0	0	0	0	0	0	0	0	1615100174	
5.25786	30	0	0	18116	0	0	1	0	0	84094	51	0	0.674974	0.61272	0	0	0	0	0	0	0	0	0	0	0	0	1223175561	
0.221645	30	0	0	18086	0	0	1	0	0	83760	1	0	0.59099	0.59099	0	0	0	0	0	0	0	0	0	0	0	0	1223175561	
5.69713	33	0	0	18774	0	0	1	0	0	88624	50	1	0.773759	0.703593	0	0	0	0	0	0	0	0	0	0	0	0	19292366	1163718206	1188846234	
5.60492	33	0	0	18615	0	0	1	0	0	87528	49	2	0.607726	0.596415	0	0	0	0	0	0	0	0	0	0	0	0	19292366	1163718206	1188846234	
5.58948	34	0	0	18662	0	0	1	0	0	88284	51	0	0.665977	0.632618	0	0	0	0	0	0	0	0	0	0	0	0	1425359813	
5.61905	34	0	0	18614	0	0	1	0	0	87786	49	2	0.600417	0.593623	0	0	0	0	0	0	0	0	0	0	0	0	1425359813	
5.65578	35	0	0	19400	0	0	1	0	0	92130	51	0	0.751681	0.683172	0	0	0	0	0	0	0	0	0	0	0	0	1503000354	
5.79208	35	0	0	19147	0	0	1	0	0	90600	49	2	0.611709	0.602305	0	0	0	0	0	0	0	0	0	0	0	0	1503000354	
5.85324	36	0	0	19478	0	0	1	0	0	92102	51	0	0.678682	0.62684	0	0	0	0	0	0	0	0	0	0	0	0	251449938	
